brandName,categories/2,categories/3,itemId,itemSoldCntShow,itemUrl,location,name,nid,originalPrice,price,priceShow,ratingScore,review,sellerId,sellerName,skuId
No Brand,10002142,10002450,533487637,,//www.daraz.pk/products/5-3x-2x-cheese-i533487637.html,Punjab,"Samyang Choose Flavors of Your Choice Korean Ramen (Pack of 5s) Noodles (Red 3X Spicy, Red 2X Spicy, Black Hot Chicken, Pink Carbonara, Creamy Carbonara, Green Jjajang, Yellow Cheese, Original Spicy, Extra Spicy, Kimchi, Vegetasty Soupy Korean Imported",533487637,2999,2349,"Rs. 2,349",5,1,6.01E+12,Tehzeeb Designers,2505573302
No Brand,10002142,10002450,606938489,10 sold,//www.daraz.pk/products/8-i606938489.html,Punjab,"Chicken Noodles - Pack of 8 Deliciously Spiced Instant Noodles for a Flavorful Snack Experience""",606938489,999,349,Rs. 349,,0,6.01E+12,Chill Shop,2809709182
Masalaywala (Pvt.) Ltd,10002140,10002445,593183733,25 sold,//www.daraz.pk/products/french-fries-masala-bbq-fries-pasta-macroni-noodles-sweet-corn-seasoning250gm-i593183733.html,Sindh,French Fries Masala BBQ (Fries / Pasta/ Macroni/ Noodles /Sweet Corn Seasoning) 250gm,593183733,499,199,Rs. 199,,,6.01E+12,Masalaywala,2735384437
No Brand,10002140,10002445,588261810,,//www.daraz.pk/products/nissin-premium-bonito-blend-noodle-family-pack-5x106g-i588261810.html,Punjab,Nissin Premium Bonito Blend Noodle Family Pack (5x106g),588261810,2500,1999,"Rs. 1,999",,,6.01E+12,Bin Khawar Mart,2713578425
No Brand,10002140,10002445,269615020,196 sold,//www.daraz.pk/products/5-70-i269615020.html,Punjab,Indomie instant noodles pack of 5 vegetable flavour 70g,269615020,1799,1199,"Rs. 1,199",4.434782609,23,6.01E+12,Indomie Noodles Saudi Arabia,1483481734
No Brand,10002142,10002450,550508375,62 sold,//www.daraz.pk/products/2-78-5-i550508375.html,Sindh,Maggi 2 Minutes Hot & Spicy Noodles 78g (pack of 5) Bundle Offer Hot  Deal Halal,550508375,6999,2999,"Rs. 2,999",5,2,13028,vollmax mall (Karachi),2562913844
No Brand,10002142,10002450,227472169,197 sold,//www.daraz.pk/products/samyang-jjajang-korean-noodles-buldak-green-black-bean-sauce-noodles-pack-of-5-korean-imported-noodles-i227472169.html,Punjab,Samyang Jjajang Korean Noodles Buldak Green (Black Bean Sauce) Noodles (Pack of 5) Korean Imported Noodles,227472169,2999,2849,"Rs. 2,849",4.875,31,6.01E+12,ImpoSeller,2083177408
No Brand,10002142,10002450,429483810,27 sold,//www.daraz.pk/products/samyang-noodles-700-gram-instant-noodles-hot-chicken-flavour-cheeses-yellow-pack-of-5-imported-noodles-korean-noodles-i429483810.html,Punjab,Samyang Noodles 700 Gram Instant Noodles Hot Chicken Flavour (Cheeses) (Yellow Pack of 5) Imported Noodles Korean Noodles,429483810,29999,2699,"Rs. 2,699",5,2,6.01E+12,Sam'sClub,2043827137
No Brand,10002140,10002445,171142638,,//www.daraz.pk/products/-i171142638.html,Sindh,Silicone Noodles Spoon,171142638,695,375,Rs. 375,,0,6.01E+12,MR MARKET,1341660364
Masalaywala (Pvt.) Ltd,10002142,10002450,603921583,77 sold,//www.daraz.pk/products/french-fries-masala-lemon-n-pepper-fries-pasta-macroni-noodles-sweet-cornseasoning50gm-i603921583.html,Sindh,French Fries Masala LEMON N PEPPER (Fries / Pasta/ Macroni/ Noodles /Sweet Corn Seasoning) 50gm,603921583,149,79,Rs. 79,5,4,6.01E+12,Masalaywala,2790788674
No Brand,10002140,10002445,454997731,99 sold,//www.daraz.pk/products/-i454997731.html,Sindh,samyang noodle carbo,454997731,,620,Rs. 620,3.6,10,11060,Amazing Thai (Karachi),2156817144
No Brand,10002142,10002450,217671048,242 sold,//www.daraz.pk/products/samyang-2x-spicy-ramen-700g-pack-of-5-spicy-korean-noodles-bestseller-authentic-flavor-quick-and-easy-cooking-korean-noodles-instant-noodles-samyang-noodles-i217671048.html,Punjab,SAMYANG 2x Spicy Ramen 700g - Pack of 5 - Spicy Korean Noodles - Bestseller - Authentic Flavor - Quick and Easy Cooking - Korean Noodles - Instant Noodles - Samyang noodles,217671048,3200,2599,"Rs. 2,599",4.771428571,35,6.01E+12,Infinity Box,1428205686
Masalaywala (Pvt.) Ltd,10002142,10002450,603978768,150 sold,//www.daraz.pk/products/french-fries-masala-wasabi-fries-pasta-macroni-noodles-sweet-cornseasoning50gm-i603978768.html,Sindh,French Fries Masala WASABI (Fries / Pasta/ Macroni/ Noodles /Sweet Corn Seasoning) 50gm,603978768,149,79,Rs. 79,5,16,6.01E+12,Masalaywala,2791320670
No Brand,10002142,10002450,404093563,85 sold,//www.daraz.pk/products/samyang-buldak-black-pack-of-5-140gx5-hot-chicken-flavour-ramen-korean-imported-noodles-i404093563.html,Punjab,Samyang Buldak Black Pack of 5 (140gx5) Hot Chicken Flavour Ramen Korean Imported Noodles,404093563,2999,2799,"Rs. 2,799",4.5,8,6.01E+12,ImpoSeller,2144483650
No Brand,10002142,10002450,269867103,321 sold,//www.daraz.pk/products/4-2x-i269867103.html,Punjab,Samyang Hot Chicken Flavor Ramen Noodles Deal  4 Noodles  Red Hot Chicken Buldak 2x Flavor Ramen  Hot Chicken Flavor Ramen(original)  Hot Chicken Cheese  Samyang Buldak Cheese Samyang Korean Imported Korean Noodles  Instant Noodles,269867103,2500,2250,"Rs. 2,250",4.543478261,46,6.01E+12,Infinity Box,1483630332
No Brand,10002142,10002450,432201007,46 sold,//www.daraz.pk/products/samyang-creamy-carbonara-noodles-700-gram-instant-noodles-pack-of-5-imported-noodles-korean-noodles-i432201007.html,Punjab,Samyang Creamy Carbonara Noodles 700 Gram Instant Noodles ( Pack of 5) Imported Noodles Korean Noodles,432201007,2999,2699,"Rs. 2,699",5,1,6.01E+12,Sam'sClub,2063458289
No Brand,10002142,10002450,223995428,890 sold,//www.daraz.pk/products/samyang-hot-chicken-ramen-noodles-bundle-offer-hot-deal-includes-1-red-2x-spicy-1-black-original-1-pink-carbo-1-black-beans-green-1-cheese-yellow-i223995428.html,Punjab,"Samyang Hot Chicken Ramen Noodles Bundle Offer Hot deal  Includes 1 Red (2x Spicy), 1 Black (Original), 1 Pink (Carbo), 1 Black Beans (Green), 1 Cheese (yellow)",223995428,3000,2599,"Rs. 2,599",4.697674419,129,6.01E+12,Infinity Box,1441849037
Knorr,10002142,10002450,376184761,76.3K sold,//www.daraz.pk/products/pack-of-8-knorr-noodles-chatpatta-50g-i376184761.html,Punjab,Pack of 8 Knorr Noodles Chatpatta - 50G,376184761,400,374,Rs. 374,4.825072886,1029,1000000,Daraz Retail Seller,1861759502
No Brand,10002140,10002445,479771235,19 sold,//www.daraz.pk/products/samyang-hot-chicken-flavor-ramen-pack-of-1-140-grams-each-noodle-black-samyang-ramen-1x-spicy-buldak-korean-ramen-spicy-korean-noodles-i479771235.html,Punjab,Samyang Hot Chicken Flavor Ramen Pack of 1 | 140 grams each Noodle | Black Samyang Ramen | 1x Spicy | Buldak Korean Ramen | Spicy Korean Noodles |,479771235,700,549,Rs. 549,,0,6.01E+12,Anaan,2255842993
No Brand,10002142,10002450,480787077,9 sold,//www.daraz.pk/products/5-2x-jjjajang-i480787077.html,Punjab,Samyang Ramen Pack of 5 DEAL | Samyang hot chicken Ramen (Black) + Samyang 2x Spicy (RED) + Samyang Carbo Ramen (Pink) + Samyang Cheese Ramen (Yellow) + Samyang Jjajang | 140 grams each Noodle | Spicy Ramen | Spicy Samyang Noodles |,480787077,2999,2599,"Rs. 2,599",,0,6.01E+12,Quik Shop,2256146981
No Brand,10002142,10002450,458040502,,//www.daraz.pk/products/indomie-baladi-chicken-flavor-noodles-pack-of-5-i458040502.html,Sindh,Indomie Baladi Chicken Flavor Noodles | Pack of 5,458040502,,1499,"Rs. 1,499",,0,1059463,Twenty Six,2169632829
No Brand,10002142,10002450,489087614,,//www.daraz.pk/products/samyang-extra-spicy-ramen-pack-of-5120gmx5600gm-korean-ramen-imported-noodles-soupy-noodles-i489087614.html,Punjab,Samyang Extra Spicy Ramen (Pack of 5)120gmx5=600gm Korean Ramen Imported Noodles Soupy Noodles,489087614,2999,2499,"Rs. 2,499",5,1,6.01E+12,Tehzeeb Designers,2300903415
No Brand,10002142,10002450,439153024,,//www.daraz.pk/products/5-i439153024.html,Punjab,BEEF NOODLES PACK OF 5,439153024,,1695,"Rs. 1,695",,,6.01E+12,Noodles Supplier,2126109819
MIABC,10002140,10002445,299804113,371 sold,//www.daraz.pk/products/pack-of-40-indonesian-noodles-instant-noodles-hot-and-spicy-noodles-instant-fried-noodles-flavour-noodles-fiery-noodles-abc-noodles-40-mi-instant-goreng-flavour-noodles-in-one-pack-instant-spicy-noodles-carton-pack-pack-of-40-i299804113.html,Sindh,Pack of 40 Indonesian Noodles  - Instant Noodles - Hot And Spicy Noodles - Instant Fried Noodles - Flavour Noodles  - Fiery Noodles -  Abc Noodles 40 Mi Instant Goreng -  Flavour Noodles In One Pack -  Instant Spicy Noodles Carton Pack (Pack of 40),299804113,6000,5599,"Rs. 5,599",4.936708861,79,6.01E+12,ABC Noodles,1622216892
hazrat food,10002142,10002450,535732106,22 sold,//www.daraz.pk/products/-i535732106.html,Khyber Pakhtunkhwa,Chat Patta Flavored Instant Noodles Sachet's 10 Grams,535732106,,120,Rs. 120,,,6.01E+12,Hazrat Foods,2514690658
No Brand,10002142,10002450,535195579,9 sold,//www.daraz.pk/products/60-i535195579.html,Sindh,Shoop high quality instant noodles chatpata flavour 60gm,535195579,,85,Rs. 85,,,6.01E+12,Ladie's Corner ,2512820444
No Brand,10002142,10002450,439137240,104 sold,//www.daraz.pk/products/-i439137240.html,Sindh,indomie noodle spicy gourmet,439137240,,300,Rs. 300,3.9,10,11060,Amazing Thai (Karachi),2126081681
No Brand,10002142,10002450,516917383,51 sold,//www.daraz.pk/products/samyang-noodles-650g-carbonara-flavour-ramen-pink-i516917383.html,Punjab,Samyang Noodles 650g Carbonara Flavour Ramen PINK,516917383,3000,2699,"Rs. 2,699",4.666666667,3,6.01E+12,Earnex,2449518769
No Brand,10002140,10002445,450903836,101 sold,//www.daraz.pk/products/korean-noodles-combo-deal-2-different-flavored-noodles-pink-yellow-carbonara-noodles-cheese-noodles-korean-imported-noodles-stir-fried-instant-noodle-i450903836.html,Punjab,Korean Noodles Combo Deal 2 different flavored Noodles ( Pink & Yellow ) | Carbonara Noodles & Cheese Noodles| Korean Imported Noodles | Stir fried Instant Noodle,450903836,2000,1099,"Rs. 1,099",4.5,12,6.01E+12,Grocer Store ,2144226890
No Brand,10002142,10002450,513480526,23 sold,//www.daraz.pk/products/samyang-creamy-carbonara-noodles-700-gram-i513480526.html,Punjab,Samyang Creamy Carbonara Noodles 700 Gram,513480526,3000,2699,"Rs. 2,699",,,6.01E+12,Earnex,2440783572
No Brand,10002142,10002450,371826888,943 sold,//www.daraz.pk/products/1-i371826888.html,Sindh,Ramen Buldak Hot Chicken Flavor Noodles Pink 130g 1pc,371826888,750,579,Rs. 579,4.490909091,55,6.01E+12,AAR-STORE,1839383120
No Brand,10002142,10002450,431073961,322 sold,//www.daraz.pk/products/samyang-1-pink-1-black-270gram-instant-noodles-hot-chicken-flavor-ramen-noodles-imported-noodles-korean-noodles-pack-of-2-i431073961.html,Punjab,Samyang 1 Pink 1 black 270gram | Instant Noodles Hot Chicken Flavor Ramen Noodles | Imported Noodles | Korean Noodles pack of 2,431073961,1300,1199,"Rs. 1,199",4.292682927,41,6.01E+12,Sam'sClub,2056183534
No Brand,10002142,10002450,440849377,112 sold,//www.daraz.pk/products/noodles-650-gram-instant-noodles-carbonara-flavour-ramen-pink-pack-of-5-imported-noodles-korean-noodles-i440849377.html,Punjab,Noodles 650 Gram Instant Noodles Carbonara Flavour Ramen (PINK Pack of 5) Imported Noodles Korean Noodles,440849377,3000,2699,"Rs. 2,699",5,6,6.01E+12,Sam'sClub,2129153363
No Brand,10002142,10002450,479597207,90 sold,//www.daraz.pk/products/36-316-i479597207.html,Sindh,Pack Of 36 Pcs Chatpata Noodles 31.6g,479597207,,1780,"Rs. 1,780",4.6,5,6.01E+12,Mujeeb Malik Store,2251163410
MIABC,10002142,10002450,466047350,349 sold,//www.daraz.pk/products/crush-i466047350.html,Sindh,Abc Noodles Crush Noodles Pack 1 Of Random Packs only 1 pack (Random white or yellow pack only 1),466047350,200,149,Rs. 149,4.09375,32,6.01E+12,ABC Noodles,2201549818
No Brand,10002142,10002450,570501839,237 sold,//www.daraz.pk/products/70-6-i570501839.html,Khyber Pakhtunkhwa,Fruitien Noodles Chatpata and Hot & Spicy-70 Gms (pack of 6 big noodles),570501839,620,460,Rs. 460,4.692307692,13,6.01E+12,AK & Sons Traders,2637760874
No Brand,10002142,10002450,495553294,,//www.daraz.pk/products/indomie-chicken-curry-flavor-noodles-pack-of-5-i495553294.html,Sindh,"Indomie Chicken Curry Flavor Noodles, Pack of 5",495553294,,1649,"Rs. 1,649",,,6.01E+12,Shaffaf Products,2369568482
No Brand,10002142,10002450,546952443,33 sold,//www.daraz.pk/products/-i546952443.html,Punjab,Indomie Instant Noodles Vegetable Flavor - (Saudi Arabia Version) 10x 75g,546952443,3600,2649,"Rs. 2,649",5,8,6.01E+12,Hiba & Emaan Collection ,2550908256
No Brand,10002142,10002450,220252690,745 sold,//www.daraz.pk/products/indomie-instant-noodles-lemon-pack-of-5-70g-i220252690.html,Punjab,Indomie Instant Noodles Lemon Pack Of 5 70g,220252690,1600,400,Rs. 400,4.407407407,135,6.01E+12,Rubik's Cube,1433643810
No Brand,10002140,10002445,480697130,19 sold,//www.daraz.pk/products/samyang-ramen-pack-of-2-deal-samyang-hot-chicken-ramen-2x-spicy-red-samyang-carbo-ramen-pink-140-grams-each-noodle-spicy-ramen-buldak-korean-ramen-spicy-korean-noodles-samyang-noodles-i480697130.html,Punjab,Samyang Ramen Pack of 2 DEAL | Samyang hot chicken Ramen 2x Spicy (Red) + Samyang Carbo Ramen (Pink) | 140 grams each Noodle | Spicy Ramen | Buldak Korean Ramen | Spicy Korean Noodles | Samyang Noodles,480697130,1500,1099,"Rs. 1,099",5,1,6.01E+12,Anaan,2255921651
No Brand,10002142,10002450,533487637,,//www.daraz.pk/products/5-3x-2x-cheese-i533487637.html,Punjab,"Samyang Choose Flavors of Your Choice Korean Ramen (Pack of 5s) Noodles (Red 3X Spicy, Red 2X Spicy, Black Hot Chicken, Pink Carbonara, Creamy Carbonara, Green Jjajang, Yellow Cheese, Original Spicy, Extra Spicy, Kimchi, Vegetasty Soupy Korean Imported",533487637,2999,2349,"Rs. 2,349",5,1,6.01E+12,Tehzeeb Designers,2505573302
No Brand,10002142,10002450,606938489,10 sold,//www.daraz.pk/products/8-i606938489.html,Punjab,"Chicken Noodles - Pack of 8 Deliciously Spiced Instant Noodles for a Flavorful Snack Experience""",606938489,999,349,Rs. 349,,0,6.01E+12,Chill Shop,2809709182
Masalaywala (Pvt.) Ltd,10002140,10002445,593183733,25 sold,//www.daraz.pk/products/french-fries-masala-bbq-fries-pasta-macroni-noodles-sweet-corn-seasoning250gm-i593183733.html,Sindh,French Fries Masala BBQ (Fries / Pasta/ Macroni/ Noodles /Sweet Corn Seasoning) 250gm,593183733,499,199,Rs. 199,,,6.01E+12,Masalaywala,2735384437
No Brand,10002140,10002445,588261810,,//www.daraz.pk/products/nissin-premium-bonito-blend-noodle-family-pack-5x106g-i588261810.html,Punjab,Nissin Premium Bonito Blend Noodle Family Pack (5x106g),588261810,2500,1999,"Rs. 1,999",,,6.01E+12,Bin Khawar Mart,2713578425
No Brand,10002140,10002445,269615020,196 sold,//www.daraz.pk/products/5-70-i269615020.html,Punjab,Indomie instant noodles pack of 5 vegetable flavour 70g,269615020,1799,1199,"Rs. 1,199",4.434782609,23,6.01E+12,Indomie Noodles Saudi Arabia,1483481734
No Brand,10002142,10002450,550508375,62 sold,//www.daraz.pk/products/2-78-5-i550508375.html,Sindh,Maggi 2 Minutes Hot & Spicy Noodles 78g (pack of 5) Bundle Offer Hot  Deal Halal,550508375,6999,2999,"Rs. 2,999",5,2,13028,vollmax mall (Karachi),2562913844
No Brand,10002142,10002450,227472169,197 sold,//www.daraz.pk/products/samyang-jjajang-korean-noodles-buldak-green-black-bean-sauce-noodles-pack-of-5-korean-imported-noodles-i227472169.html,Punjab,Samyang Jjajang Korean Noodles Buldak Green (Black Bean Sauce) Noodles (Pack of 5) Korean Imported Noodles,227472169,2999,2849,"Rs. 2,849",4.875,31,6.01E+12,ImpoSeller,2083177408
No Brand,10002142,10002450,429483810,27 sold,//www.daraz.pk/products/samyang-noodles-700-gram-instant-noodles-hot-chicken-flavour-cheeses-yellow-pack-of-5-imported-noodles-korean-noodles-i429483810.html,Punjab,Samyang Noodles 700 Gram Instant Noodles Hot Chicken Flavour (Cheeses) (Yellow Pack of 5) Imported Noodles Korean Noodles,429483810,29999,2699,"Rs. 2,699",5,2,6.01E+12,Sam'sClub,2043827137
No Brand,10002140,10002445,171142638,,//www.daraz.pk/products/-i171142638.html,Sindh,Silicone Noodles Spoon,171142638,695,375,Rs. 375,,0,6.01E+12,MR MARKET,1341660364
Masalaywala (Pvt.) Ltd,10002142,10002450,603921583,77 sold,//www.daraz.pk/products/french-fries-masala-lemon-n-pepper-fries-pasta-macroni-noodles-sweet-cornseasoning50gm-i603921583.html,Sindh,French Fries Masala LEMON N PEPPER (Fries / Pasta/ Macroni/ Noodles /Sweet Corn Seasoning) 50gm,603921583,149,79,Rs. 79,5,4,6.01E+12,Masalaywala,2790788674
No Brand,10002140,10002445,454997731,99 sold,//www.daraz.pk/products/-i454997731.html,Sindh,samyang noodle carbo,454997731,,620,Rs. 620,3.6,10,11060,Amazing Thai (Karachi),2156817144
No Brand,10002142,10002450,217671048,242 sold,//www.daraz.pk/products/samyang-2x-spicy-ramen-700g-pack-of-5-spicy-korean-noodles-bestseller-authentic-flavor-quick-and-easy-cooking-korean-noodles-instant-noodles-samyang-noodles-i217671048.html,Punjab,SAMYANG 2x Spicy Ramen 700g - Pack of 5 - Spicy Korean Noodles - Bestseller - Authentic Flavor - Quick and Easy Cooking - Korean Noodles - Instant Noodles - Samyang noodles,217671048,3200,2599,"Rs. 2,599",4.771428571,35,6.01E+12,Infinity Box,1428205686
Masalaywala (Pvt.) Ltd,10002142,10002450,603978768,150 sold,//www.daraz.pk/products/french-fries-masala-wasabi-fries-pasta-macroni-noodles-sweet-cornseasoning50gm-i603978768.html,Sindh,French Fries Masala WASABI (Fries / Pasta/ Macroni/ Noodles /Sweet Corn Seasoning) 50gm,603978768,149,79,Rs. 79,5,16,6.01E+12,Masalaywala,2791320670
No Brand,10002142,10002450,404093563,85 sold,//www.daraz.pk/products/samyang-buldak-black-pack-of-5-140gx5-hot-chicken-flavour-ramen-korean-imported-noodles-i404093563.html,Punjab,Samyang Buldak Black Pack of 5 (140gx5) Hot Chicken Flavour Ramen Korean Imported Noodles,404093563,2999,2799,"Rs. 2,799",4.5,8,6.01E+12,ImpoSeller,2144483650
No Brand,10002142,10002450,269867103,321 sold,//www.daraz.pk/products/4-2x-i269867103.html,Punjab,Samyang Hot Chicken Flavor Ramen Noodles Deal  4 Noodles  Red Hot Chicken Buldak 2x Flavor Ramen  Hot Chicken Flavor Ramen(original)  Hot Chicken Cheese  Samyang Buldak Cheese Samyang Korean Imported Korean Noodles  Instant Noodles,269867103,2500,2250,"Rs. 2,250",4.543478261,46,6.01E+12,Infinity Box,1483630332
